Steps,Policy/Entropy,Environment/Episode Length,TicTacToeWinner/Draw,TicTacToeWinner/X-Won,TicTacToeWinner/O-Won,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
2622000,0.23423667,3.3221476510067114,0.3764705882352941,0.35294117647058826,0.27058823529411763,1206.7186514975567,0.35498422,0.3568181818181818,0.3568181818181818,0.0035430982,0.10774242,0.00029999999,0.29999998,0.0049999994,1.0
2623000,0.23098809,3.2948717948717947,0.45544554455445546,0.2871287128712871,0.25742574257425743,1212.423843969341,0.3551489,0.34935897435897434,0.34935897435897434,0.018901706,0.10834563,0.00029999999,0.29999998,0.0049999994,1.0
2624000,0.22713938,3.3063457330415753,0.6147540983606558,0.27049180327868855,0.11475409836065574,1215.815008527257,0.3478064,0.354978354978355,0.354978354978355,0.027003122,0.14602152,0.00029999999,0.29999998,0.0049999994,1.0
2625000,0.22622895,3.3096774193548386,0.5954198473282443,0.2366412213740458,0.16793893129770993,1219.1534179126957,0.35719377,0.361587982832618,0.361587982832618,0.018180408,0.12202984,0.00029999999,0.29999998,0.0049999994,1.0
2626000,0.22111937,3.2982832618025753,0.6621621621621622,0.19594594594594594,0.14189189189189189,1219.1248687412058,0.3509715,0.3583690987124464,0.3583690987124464,0.021686282,0.11975491,0.00029999999,0.29999998,0.0049999994,1.0
2627000,0.215658,3.2893617021276595,0.6733333333333333,0.22,0.10666666666666667,1219.124868741206,0.3616076,0.36909871244635195,0.36909871244635195,0.0041530924,0.11137514,0.00029999999,0.29999998,0.0049999994,1.0
2628000,0.22510575,3.3006535947712417,0.6549295774647887,0.2323943661971831,0.11267605633802817,1219.1248687412058,0.36512107,0.37339055793991416,0.37339055793991416,0.0035882315,0.12936758,0.00029999999,0.29999998,0.0049999994,1.0
2629000,0.22563706,3.296137339055794,0.6944444444444444,0.18055555555555555,0.125,1221.0889866021528,0.3544764,0.3642241379310345,0.3642241379310345,0.010147343,0.1285011,0.00029999999,0.29999998,0.0049999994,1.0
2630000,0.2224257,3.3135593220338984,0.69375,0.2125,0.09375,1223.7059095615928,0.36183095,0.36530172413793105,0.36530172413793105,0.0035875826,0.12691846,0.00029999999,0.29999998,0.0049999994,1.0
2631000,0.22304125,3.3070539419087135,0.6774193548387096,0.2064516129032258,0.11612903225806452,1224.7756722593754,0.368351,0.3722943722943723,0.3722943722943723,0.0048959213,0.10433869,0.00029999999,0.29999998,0.0049999994,1.0
2632000,0.21382688,3.268018018018018,0.5737704918032787,0.2540983606557377,0.1721311475409836,1226.5236309573484,0.37532216,0.3776595744680851,0.3776595744680851,0.013647712,0.09952637,0.00029999999,0.29999998,0.0049999994,1.0
2633000,0.24786218,3.2887473460721868,0.6106870229007634,0.22900763358778625,0.16030534351145037,1226.5236309573486,0.3582599,0.361587982832618,0.361587982832618,0.011478652,0.10415756,0.00029999999,0.29999998,0.0049999994,1.0
2634000,0.25746974,3.3122270742358078,0.6474820143884892,0.22302158273381295,0.12949640287769784,1228.6727263599844,0.3503983,0.3426724137931034,0.3426724137931034,0.022657776,0.12935723,0.00029999999,0.29999998,0.0049999994,1.0
2635000,0.26135808,3.2933618843683083,0.6736111111111112,0.2222222222222222,0.10416666666666667,1231.8227912726913,0.3557533,0.36802575107296137,0.36802575107296137,0.016213855,0.111276045,0.00029999999,0.29999998,0.0049999994,1.0
2636000,0.2644116,3.304535637149028,0.6466666666666666,0.21333333333333335,0.14,1231.9105668768923,0.3535321,0.35714285714285715,0.35714285714285715,0.0049380064,0.11091924,0.00029999999,0.29999998,0.0049999994,1.0
2637000,0.26896483,3.3190578158458246,0.6708860759493671,0.189873417721519,0.13924050632911392,1231.910566876892,0.35599,0.3626609442060086,0.3626609442060086,0.02683195,0.10743916,0.00029999999,0.29999998,0.0049999994,1.0
2638000,0.23974267,3.316593886462882,0.7019867549668874,0.1986754966887417,0.09933774834437085,1231.9105668768925,0.3501583,0.354978354978355,0.354978354978355,0.009184025,0.14599821,0.00029999999,0.29999998,0.0049999994,1.0
2639000,0.21202576,3.3047210300429186,0.6802721088435374,0.2108843537414966,0.10884353741496598,1234.773354966909,0.35972247,0.36853448275862066,0.36853448275862066,0.020921048,0.12308457,0.00029999999,0.29999998,0.0049999994,1.0
2640000,0.21387874,3.3168103448275863,0.7202797202797203,0.2097902097902098,0.06993006993006994,1244.8957202097254,0.36042273,0.36314655172413796,0.36314655172413796,0.006078721,0.12411502,0.00029999999,0.29999998,0.0049999994,1.0
2641000,0.20248893,3.3168103448275863,0.6805555555555556,0.19444444444444445,0.125,1255.8770969820425,0.36137637,0.36904761904761907,0.36904761904761907,0.0035233004,0.12446836,0.00029999999,0.29999998,0.0049999994,1.0
2642000,0.21817194,3.2952586206896552,0.6993464052287581,0.1830065359477124,0.11764705882352941,1261.3750509400484,0.3571431,0.3557692307692308,0.3557692307692308,0.021157052,0.13843437,0.00029999999,0.29999998,0.0049999994,1.0
2643000,0.20950428,3.307855626326964,0.6490066225165563,0.23178807947019867,0.11920529801324503,1261.4557046572188,0.3713379,0.3776824034334764,0.3776824034334764,0.003921553,0.12449953,0.00029999999,0.29999998,0.0049999994,1.0
2644000,0.222716,3.298136645962733,0.7134502923976608,0.19298245614035087,0.0935672514619883,1262.2067414295009,0.34425923,0.35021551724137934,0.35021551724137934,0.022011993,0.11881645,0.00029999999,0.29999998,0.0049999994,1.0
2645000,0.22830486,3.3097949886104785,0.7232704402515723,0.1761006289308176,0.10062893081761007,1265.030013291128,0.34974492,0.3593073593073593,0.3593073593073593,0.0047510853,0.10707537,0.00029999999,0.29999998,0.0049999994,1.0
2646000,0.24520013,3.2982832618025753,0.7403314917127072,0.16574585635359115,0.09392265193370165,1266.2501980912343,0.3640263,0.36961206896551724,0.36961206896551724,0.009262718,0.12978464,0.00029999999,0.29999998,0.0049999994,1.0
2647000,0.24158055,3.3025751072961373,0.7473118279569892,0.15053763440860216,0.10215053763440861,1262.0422893427888,0.36468506,0.3620689655172414,0.3620689655172414,0.004928423,0.114472106,0.00029999999,0.29999998,0.0049999994,1.0
2648000,0.24127412,3.313852813852814,0.7671957671957672,0.164021164021164,0.06878306878306878,1256.279955388442,0.35991973,0.36961206896551724,0.36961206896551724,0.010836475,0.12516722,0.00029999999,0.29999998,0.0049999994,1.0
2649000,0.23196654,3.3081896551724137,0.7319587628865979,0.16494845360824742,0.10309278350515463,1257.2656484204458,0.355793,0.35560344827586204,0.35560344827586204,0.021112747,0.12544334,0.00029999999,0.29999998,0.0049999994,1.0
2650000,0.21801636,3.296137339055794,0.7777777777777778,0.1746031746031746,0.047619047619047616,1260.1914876188414,0.361764,0.37124463519313305,0.37124463519313305,0.005550874,0.12903425,0.00029999999,0.29999998,0.0049999994,1.0
2651000,0.20748633,3.3060344827586206,0.772972972972973,0.15135135135135136,0.07567567567567568,1260.2964247488928,0.35733593,0.36853448275862066,0.36853448275862066,0.00772315,0.1212962,0.00029999999,0.29999998,0.0049999994,1.0
2652000,0.21118852,3.2826552462526766,0.6971830985915493,0.20422535211267606,0.09859154929577464,1260.2964247488928,0.37075728,0.3627659574468085,0.3627659574468085,0.017641824,0.11981261,0.00029999999,0.29999998,0.0049999994,1.0
2653000,0.20921429,3.296137339055794,0.6993464052287581,0.20915032679738563,0.0915032679738562,1266.261368825992,0.3440388,0.3530042918454936,0.3530042918454936,0.03656486,0.11069402,0.00029999999,0.29999998,0.0049999994,1.0
2654000,0.13916805,3.3169164882226982,0.7134146341463414,0.1951219512195122,0.09146341463414634,1272.309885673768,0.34861714,0.36038961038961037,0.36038961038961037,0.010184584,0.13466392,0.00029999999,0.29999998,0.0049999994,1.0
2655000,0.12954633,3.3181818181818183,0.7440476190476191,0.16071428571428573,0.09523809523809523,1272.3262003439454,0.36565727,0.3728448275862069,0.3728448275862069,0.007732007,0.13981043,0.00029999999,0.29999998,0.0049999994,1.0
2656000,0.12821954,3.300215982721382,0.7329192546583851,0.19254658385093168,0.07453416149068323,1272.3262003439454,0.3564937,0.3588362068965517,0.3588362068965517,0.0188222,0.10239634,0.00029999999,0.29999998,0.0049999994,1.0
2657000,0.18861263,3.321814254859611,0.7361963190184049,0.18404907975460122,0.07975460122699386,1273.3637887390737,0.35233265,0.3566810344827586,0.3566810344827586,0.019501649,0.12392774,0.00029999999,0.29999998,0.0049999994,1.0
